objectid,species,sp_kor,long,lat,조사일자,조사년도,시도명
4401,"Gloydius ussuriensis (Emelianov, 1929)",쇠살모사,129.268092,35.334758,2018,2018,부산광역시
4384,"Rhabdophis tigrinus (Boie, 1826)",유혈목이,129.245728,35.356683,2018,2018,부산광역시
15119,"Glandirana rugosa Temminck et Schlegel, 1838",옴개구리,129.244611,35.296044,2018,2018,부산광역시
15132,"Glandirana rugosa Temminck et Schlegel, 1838",옴개구리,129.116533,35.278994,2018,2018,부산광역시
17906,"Glandirana rugosa Temminck et Schlegel, 1838",옴개구리,129.178269,35.342872,2018,2018,부산광역시
2875,"Bombina orientalis (Boulenger, 1890)",무당개구리,129.069772,35.283744,2018,2018,부산광역시
4394,"Glandirana rugosa Temminck et Schlegel, 1838",옴개구리,129.245728,35.356683,2018,2018,부산광역시
15116,"Rana coreana Okada, 1928",한국산개구리,129.244611,35.296044,2018,2018,부산광역시
15136,"Rana coreana Okada, 1928",한국산개구리,129.254281,35.288833,2018,2018,부산광역시
17920,"Rana coreana Okada, 1928",한국산개구리,129.268092,35.334758,2018,2018,부산광역시
17911,"Lithobates catesbeianus (Shaw, 1802)",황소개구리,129.244611,35.296044,2018,2018,부산광역시
15125,"Lithobates catesbeianus (Shaw, 1802)",황소개구리,129.158525,35.260139,2018,2018,부산광역시
15124,"Bufo gargarizans Cantor, 1842",두꺼비,129.158525,35.260139,2018,2018,부산광역시
4387,"Glandirana rugosa Temminck et Schlegel, 1838",옴개구리,129.245728,35.356683,2018,2018,부산광역시
4397,"Takydromus amurensis (Peters, 1881)",아무르장지뱀,129.245728,35.356683,2018,2018,부산광역시
12532,"Bufo gargarizans Cantor, 1842",두꺼비,129.132739,35.362247,2018,2018,부산광역시
15109,"Bombina orientalis (Boulenger, 1890)",무당개구리,129.158233,35.307878,2018,2018,부산광역시
15112,"Bombina orientalis (Boulenger, 1890)",무당개구리,129.19955,35.297581,2018,2018,부산광역시
15126,"Bombina orientalis (Boulenger, 1890)",무당개구리,129.206739,35.288439,2018,2018,부산광역시
15129,"Bombina orientalis (Boulenger, 1890)",무당개구리,129.211967,35.287217,2018,2018,부산광역시
