"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","locality","type","elevation","elevationAccuracy","county"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.022887,22.210869,"Islands",2020,2,29,"cdround","https://www.inaturalist.org/observations/39392685","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2579216811","39392685",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.117661,22.27535,"Central and Western",2020,3,22,"cdround","https://www.inaturalist.org/observations/40494224","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2596242489","40494224",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",113.920167,22.209372,"Islands",2020,5,10,"cdround","https://www.inaturalist.org/observations/45455491","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2626221082","45455491",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.2052,22.247167,"Southern",2020,5,16,"cdround","https://www.inaturalist.org/observations/46054564","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2626250965","46054564",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.169361,22.319095,"Yau Tsim Mong",2020,5,1,"cdround","https://www.inaturalist.org/observations/95740743","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3384013842","95740743",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",113.975349,22.243376,"Islands",2020,6,15,"","https://www.inaturalist.org/observations/91727430","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3338094826","91727430",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.14472,22.274782,"Central and Western",2020,8,4,"cdround","https://www.inaturalist.org/observations/55390065","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2850596206","55390065",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",113.95575,22.234383,"Islands",2020,8,22,"cdround","https://www.inaturalist.org/observations/57195895","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2856732719","57195895",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",113.926369,22.263552,"Islands",2020,9,9,"cdround","https://www.inaturalist.org/observations/59024692","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2862459331","59024692",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.194324,22.260765,"Wan Chai",2020,9,23,"cdround","https://www.inaturalist.org/observations/60687004","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2873840700","60687004",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.135079,22.278592,"Central and Western",2020,10,11,"cdround","https://www.inaturalist.org/observations/62280636","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2898339797","62280636",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.159778,22.36625,"Sha Tin",2020,10,14,"cdround","https://www.inaturalist.org/observations/76971163","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3112795889","76971163",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.168213,22.266322,"Wan Chai",2020,11,7,"cdround","https://www.inaturalist.org/observations/64344305","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2981045309","64344305",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.136948,22.263268,"Southern",2019,3,21,"cdround","https://www.inaturalist.org/observations/21445751","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2028511692","21445751",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.148706,22.27552,"Central and Western",2019,3,21,"cdround","https://www.inaturalist.org/observations/21447962","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2251829901","21447962",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Plestiodon quadrilineatus",114.1466,22.278381,"Central and Western",2019,3,21,"cdround","https://www.inaturalist.org/observations/21446712","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2331827304","21446712",NA,NA,NA,NA,NA,NA,NA
