"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","county","locality","type","continent","preparations","elevation"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",126.96652,36.687639,"Chungcheongnam-do",2017,6,10,"cdround","https://www.inaturalist.org/observations/39432268","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2576302009","39432268",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",126.679273,34.73724,"Jeollanam-do",2017,7,15,"","https://www.inaturalist.org/observations/7072747","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1580498605","7072747",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",128.439101,38.074201,"Gangwon-do",2017,9,23,"cdround","https://www.inaturalist.org/observations/34265770","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2579309796","34265770",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",128.044968,37.399074,"Gangwon-do",2016,7,2,"cdround","https://www.inaturalist.org/observations/8233778","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1837793389","8233778",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",135.351367,44.51598,"Primor'ye",2016,7,3,"cdround","https://www.inaturalist.org/observations/22916090","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2237493128","22916090",NA,NA,NA,NA,NA,NA
"67198231-b814-491e-a1a3-870594f914f5","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",136.15,45.333333,NA,2015,6,14,"osiic",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2423348803","ECNRUSA19711",NA,"Sihotje-Alinskij_Ternej",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",130.547651,49.186688,"Amur",2015,6,2,"cdround","https://www.inaturalist.org/observations/103648281","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3455538860","103648281",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",136.638647,49.327293,"Khabarovsk",2015,6,11,"cdround","https://www.inaturalist.org/observations/103225498","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3457136562","103225498",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",133.760045,43.170519,"Primor'ye",2015,7,20,"cdround","https://www.inaturalist.org/observations/93454107","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3355261743","93454107",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",132.886717,43.164912,"Primor'ye",2015,7,30,"cdround","https://www.inaturalist.org/observations/102539229","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3456962968","102539229",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",127.733339,52.870753,"Amur",2015,9,11,"cdround","https://www.inaturalist.org/observations/69604489","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3067704316","69604489",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",127.733746,38.270969,"Gangwon-do",2014,5,29,"","https://www.inaturalist.org/observations/706719","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1880670257","706719",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",126.9841,36.250918,"Chungcheongnam-do",2014,5,31,"","https://www.inaturalist.org/observations/711752","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2574120706","711752",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",127.729111,36.844263,"Chungcheongbuk-do",2014,8,13,"","https://www.inaturalist.org/observations/829939","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1880672933","829939",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",127.786789,36.760693,"Chungcheongbuk-do",2014,8,13,"","https://www.inaturalist.org/observations/829926","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1914252150","829926",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",126.603634,36.77356,"Chungcheongnam-do",2014,8,15,"","https://www.inaturalist.org/observations/3659873","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2574207727","3659873",NA,NA,NA,NA,NA,NA
"ef6e0754-8bf2-4854-9aa3-3a2a1a90810b","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",127.912583,36.774028,NA,2013,2,1,"cdround,gass84",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3001874590",NA,NA,NA,NA,NA,NA,NA
"ef6e0754-8bf2-4854-9aa3-3a2a1a90810b","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",128.005208,36.838792,NA,2013,3,5,"cdround,gass84",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3001814474",NA,NA,NA,NA,NA,NA,NA
"ef6e0754-8bf2-4854-9aa3-3a2a1a90810b","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",128.793183,37.739981,NA,2013,3,15,"cdround,gass84",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3001879426",NA,NA,NA,NA,NA,NA,NA
"ef6e0754-8bf2-4854-9aa3-3a2a1a90810b","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",128.491339,37.791106,NA,2013,4,9,"cdround,gass84",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3001350455",NA,NA,NA,NA,NA,NA,NA
"ef6e0754-8bf2-4854-9aa3-3a2a1a90810b","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",128.145778,37.825264,NA,2013,4,10,"cdround,gass84",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3001863487",NA,NA,NA,NA,NA,NA,NA
"ef6e0754-8bf2-4854-9aa3-3a2a1a90810b","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",128.33845,37.671264,NA,2013,4,23,"cdround,gass84",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3001879437",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",127.202282,36.384807,"Chungcheongnam-do",2013,5,15,"","https://www.inaturalist.org/observations/2656516","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1457579244","2656516",NA,NA,NA,NA,NA,NA
"ef6e0754-8bf2-4854-9aa3-3a2a1a90810b","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",128.553467,37.912067,NA,2013,5,22,"cdround,gass84",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3001821552",NA,NA,NA,NA,NA,NA,NA
"ef6e0754-8bf2-4854-9aa3-3a2a1a90810b","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",128.288644,37.861478,NA,2013,5,15,"cdround,gass84",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3001874538",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",126.606944,36.752085,"Chungcheongnam-do",2013,6,15,"","https://www.inaturalist.org/observations/4639172","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1883568084","4639172",NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",126.606834,36.744799,"Chungcheongnam-do",2013,6,14,"","https://www.inaturalist.org/observations/368974","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2283281963","368974",NA,NA,NA,NA,NA,NA
"ef6e0754-8bf2-4854-9aa3-3a2a1a90810b","HUMAN_OBSERVATION","PRESENT","Gloydius intermedius",128.17125,37.956167,NA,2013,6,14,"cdround,gass84",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3001850570",NA,NA,NA,NA,NA,NA,NA
