"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","county","locality","type"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",128.168221,36.843911,"Chungcheongbuk-do",2016,6,6,"","https://www.inaturalist.org/observations/3393295","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1272092847","3393295",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",126.445494,36.74617,"Chungcheongnam-do",2016,6,25,"","https://www.inaturalist.org/observations/3516424","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2573907622","3516424",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",126.583577,36.745831,"Chungcheongnam-do",2016,6,21,"","https://www.inaturalist.org/observations/3496430","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2573917627","3496430",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",126.583335,36.745109,"Chungcheongnam-do",2016,6,23,"","https://www.inaturalist.org/observations/3510149","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2574130732","3510149",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",126.445561,36.746364,"Chungcheongnam-do",2016,7,17,"","https://www.inaturalist.org/observations/3689271","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2574045629","3689271",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",127.344621,36.199499,"Chungcheongnam-do",2016,9,10,"","https://www.inaturalist.org/observations/4077105","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1586088248","4077105",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",125.370481,34.675027,"Jeollanam-do",2016,9,24,"cdround","https://www.inaturalist.org/observations/52339909","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3399033481","52339909",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",127.343978,36.202813,"Chungcheongnam-do",2016,10,8,"cdround","https://www.inaturalist.org/observations/4313216","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","1993776119","4313216",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",127.289143,35.98134,"Jeollabuk-do",2015,5,2,"","https://www.inaturalist.org/observations/2212870","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1677258495","2212870",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Scincella vandenburghi",127.035811,36.688386,"Chungcheongnam-do",2015,5,1,"cdround","https://www.inaturalist.org/observations/67376916","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3772755381","67376916",NA,NA,NA,NA,NA
