"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","county","locality","type","continent","preparations"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",126.365174,41.800743,"Jilin",2021,10,8,"cdround","https://www.inaturalist.org/observations/97534981","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3415397989","97534981",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",126.367682,41.79896,"Jilin",2021,10,8,"cdround","https://www.inaturalist.org/observations/97535840","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3415471899","97535840",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",126.259251,33.278444,"Jeju",2021,10,10,"cdround","https://www.inaturalist.org/observations/97745897","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3415489934","97745897",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",124.328597,41.628665,"Liaoning",2021,10,7,"cdround","https://www.inaturalist.org/observations/97427243","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3415725881","97427243",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",126.368576,41.79903,"Jilin",2021,10,8,"cdround","https://www.inaturalist.org/observations/97535977","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3415778939","97535977",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",126.286143,36.77793,"Chungcheongnam-do",2021,10,9,"cdround","https://www.inaturalist.org/observations/124886572","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3860683286","124886572",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",128.054139,35.049622,"Gyeongsangnam-do",2021,11,1,"cdround","https://www.inaturalist.org/observations/99936332","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3408179969","99936332",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",126.895685,33.511644,"Jeju",2021,11,6,"cdround","https://www.inaturalist.org/observations/100372300","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3415645086","100372300",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",126.750473,35.457007,"Jeollabuk-do",2020,4,30,"cdround","https://www.inaturalist.org/observations/44528700","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2864611360","44528700",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",129.191156,35.175983,"Busan",2020,5,5,"cdround","https://www.inaturalist.org/observations/44963520","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2814213514","44963520",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",132.068093,43.237516,"Primor'ye",2020,5,14,"cdround","https://www.inaturalist.org/observations/109912668","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3759650367","109912668",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",127.604444,37.086667,"Gyeonggi-do",2020,6,16,"cdround","https://www.inaturalist.org/observations/49832836","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2802649272","49832836",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",127.065017,36.794869,"Chungcheongnam-do",2020,6,15,"cdround","https://www.inaturalist.org/observations/66245478","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3008461567","66245478",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",129.190714,35.175504,"Busan",2020,6,7,"cdround","https://www.inaturalist.org/observations/48759192","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3415657408","48759192",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",131.498688,43.163708,"Primor'ye",2020,7,18,"cdround","https://www.inaturalist.org/observations/53701113","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2823334154","53701113",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",127.592369,37.815528,"Gangwon-do",2020,7,10,"cdround","https://www.inaturalist.org/observations/52567200","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","3058718563","52567200",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",128.765556,37.348889,"Gangwon-do",2020,8,26,"cdround","https://www.inaturalist.org/observations/57704349","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2856588403","57704349",NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Gloydius ussuriensis",128.764167,37.345,"Gangwon-do",2020,8,26,"cdround","https://www.inaturalist.org/observations/57704175","http://creativecommons.org/licenses/by-nc/4.0/legalcode","WGS84","2856727468","57704175",NA,NA,NA,NA,NA
