"datasetKey","basisOfRecord","occurrenceStatus","species","decimalLongitude","decimalLatitude","stateProvince","year","month","day","issues","references","license","geodeticDatum","gbifID","catalogNumber","continent","preparations","locality","elevation","elevationAccuracy","type","county"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",126.377792,36.412994,"Chungcheongnam-do",2012,9,7,"cdround","https://www.inaturalist.org/observations/151459","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1677256808","151459",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",126.200101,36.850866,"Chungcheongnam-do",2012,9,7,"","https://www.inaturalist.org/observations/4637563","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1677264596","4637563",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",126.200273,36.853201,"Chungcheongnam-do",2012,9,7,"","https://www.inaturalist.org/observations/4637555","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1677264598","4637555",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",126.199779,36.846247,"Chungcheongnam-do",2011,5,29,"","https://www.inaturalist.org/observations/2572515","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1677259260","2572515",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",126.197513,36.844471,"Chungcheongnam-do",2009,5,24,"","https://www.inaturalist.org/observations/2500264","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","2573826618","2500264",NA,NA,NA,NA,NA,NA,NA
"dce00a1f-f6b4-4e11-9771-92c62c40ad80","PRESERVED_SPECIMEN","PRESENT","Eremias argus",102.730617,43.837283,"Omnogovi",2009,6,21,"cdround,gass84,colmafu",NA,"http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","686693834","331054","ASIA","tissue - 100; ETOH - 1","Khongoryn Els, Gobi Gurvansaikhan National Park",NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",126.380163,36.411069,"Chungcheongnam-do",2009,7,29,"","https://www.inaturalist.org/observations/2500701","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1677259033","2500701",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",126.198235,36.847191,"Chungcheongnam-do",2009,9,26,"cdround","https://www.inaturalist.org/observations/3372","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1453090765","3372",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",126.192484,36.840133,"Chungcheongnam-do",2008,5,8,"","https://www.inaturalist.org/observations/2492843","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1677259021","2492843",NA,NA,NA,NA,NA,NA,NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","HUMAN_OBSERVATION","PRESENT","Eremias argus",126.191883,36.841851,"Chungcheongnam-do",2008,8,30,"","https://www.inaturalist.org/observations/2495021","http://creativecommons.org/licenses/by/4.0/legalcode","WGS84","1677259028","2495021",NA,NA,NA,NA,NA,NA,NA
